"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"DOID:104","bacterial infectious disease",102,0.695606042711573,2.60645559547026,1e-10,2.0925e-08,1.33947368421053e-08,995,"tags=34%, list=7%, signal=32%","CXCL8/PTX3/TNF/SDC4/ICAM1/CCL5/ADM/RELB/PDE4A/STAT1/SERPINE1/NFKB2/ACHE/ATF3/PLAUR/NFKB1/NFKBIA/IL1RN/SPP1/TAP1/IL12RB1/REL/IRGM/AKIRIN1/AKIRIN2/TGFB1/NFE2L2/DDIT3/IL4R/HLA-B/HLA-A/HSPA1B/SLC11A1/DUSP14/MIF"
"DOID:934","viral infectious disease",156,0.63166688665548,2.51340938714504,1e-10,2.0925e-08,1.33947368421053e-08,1023,"tags=29%, list=7%, signal=28%","CXCL8/CCL3/TNF/CXCL3/IL2RA/TNFRSF18/IL1RL1/ICAM1/PRF1/CCL5/THBS1/CXCL1/F3/MX1/CXCL2/STAT1/CSF1/RETN/SERPINE1/SERPINA1/RSAD2/IL21R/PLAUR/IL2RG/CLCF1/IRF1/NFKB1/SOCS3/C5AR1/PTGS2/HLA-G/IL12RB1/CEBPB/CD3E/ATF4/TGFB1/DDIT3/FAS/HLA-B/HLA-A/MUC1/KMT2E/VEGFA/RAB31/MIF/PTPN6"
"DOID:0050117","disease by infectious agent",288,0.578493155065556,2.49473804432789,1e-10,2.0925e-08,1.33947368421053e-08,1626,"tags=31%, list=12%, signal=28%","CXCL8/CCL3/PTX3/TNF/CXCL3/IL2RA/TNFRSF18/SDC4/IL1RL1/ICAM1/PRF1/CCL5/ADM/RELB/PDE4A/THBS1/CXCL1/F3/MX1/CXCL2/STAT1/CSF1/RETN/CLEC7A/SERPINE1/SERPINA1/RSAD2/NFKB2/ACHE/IL21R/ATF3/PLAUR/IL2RG/CLCF1/IRF1/NFKB1/NFKBIA/IL1RN/SOCS3/SPP1/C5AR1/PTGS2/TAP1/HLA-G/IL12RB1/REL/IRGM/COL1A1/CEBPB/CD3E/ATF4/AKIRIN1/AKIRIN2/TGFB1/VIM/NFE2L2/GYPC/DDIT3/FAS/IL4R/HLA-B/HLA-A/MUC1/HSPA1B/KMT2E/VEGFA/SLC11A1/RAB31/DUSP14/MIF/PTPN6/SMAP2/LCK/ARPC5L/IRAK1/CYBA/B2M/NFIL3/SOCS1/ITGB2/MUC4/ACTB/IFNGR2/CD44/GLUD2/GLUD1/G6PD/FTL"
"DOID:2914","immune system disease",429,0.437598498555505,1.97237434260531,1e-10,2.0925e-08,1.33947368421053e-08,2092,"tags=28%, list=15%, signal=24%","TNFRSF4/CXCL8/TNF/IL2RA/ICAM1/PRF1/CCL5/RELB/ISG15/SH2D1A/THBS1/F3/MX1/PRDM1/LDLR/STAT1/CSF1/STX11/RETN/SERPINE1/TNFAIP3/NFKB2/ACHE/IL21R/IL2RG/CCR7/MUC16/IRF1/IFIH1/TIMP1/NFKB1/NFKBIA/IL1RN/PTGS2/TAP1/ZNFX1/HLA-G/ICOSLG/IL12RB1/REL/NLRP3/GPR132/ATP2B1/CD3E/IRF7/LST1/ZAP70/AHNAK/JUNB/RHOH/TGFB1/VIM/NRAS/HLA-H/IRF2BP2/FAS/ITGAM/IRF9/IL4R/CORO1A/FCAR/DNMT3B/SNRPC/IGHM/HLA-B/PIK3R1/GADD45A/MUC1/HSPA1B/VEGFA/SLC11A1/OAS1/TIE1/C1GALT1/EDN1/TAPBP/MIF/DHCR7/LCK/IRAK1/CYBA/STXBP2/KRAS/B2M/PDIA3/RAPGEF1/SNRPD2/PSMB7/ITGB2/RASSF5/HDAC1/SPI1/IFNGR2/POMP/BCL10/CD79A/TFPI/RNF31/JAK3/LRRC8A/NCF4/PSMB5/TAP2/CDKN1A/MYD88/MSN/GSTP1/RFXANK/CXCR3/STAT4/ITGA4/E2F1/RPL14/STAT3/CASP10/STAT2/NTRK1/TFRC"
"DOID:0080599","Coronavirus infectious disease",68,0.712716589408867,2.49018846223861,3.9962091180939e-10,6.68965406368919e-08,4.28225356023115e-08,917,"tags=34%, list=7%, signal=32%","CXCL8/CCL3/TNF/CXCL3/IL2RA/CCL5/THBS1/CXCL1/F3/CXCL2/STAT1/CSF1/RETN/SERPINE1/IL2RG/CLCF1/C5AR1/IL12RB1/CD3E/TGFB1/HLA-B/VEGFA/RAB31"
"DOID:2945","severe acute respiratory syndrome",31,0.838063749960302,2.47987090792344,1.00716895881131e-09,1.40500069754178e-07,8.99384210587646e-08,917,"tags=45%, list=7%, signal=42%","CXCL8/TNF/CXCL3/CCL5/CXCL1/CXCL2/STAT1/CLCF1/C5AR1/IL12RB1/CD3E/TGFB1/HLA-B/RAB31"
"DOID:3118","hepatobiliary disease",265,0.460915923279727,1.94992549985828,3.49128360991543e-09,4.17457768785602e-07,2.67227572548414e-07,1001,"tags=19%, list=7%, signal=18%","CP/CXCL8/CCL3/PTX3/TNF/CXCL3/ICAM1/CCL5/ADM/CXCL1/F3/MX1/CXCL2/PLAU/LDLR/STAT1/ZC3H12A/SERPINE1/ABCA1/SERPINA1/PLAUR/GCH1/RGS2/SEMA7A/TIMP1/NFKB1/NFKBIA/SPP1/PTGS2/HLA-G/IL12RB1/COL1A1/NLRP3/AHR/LGALS1/HIF1A/TGFB1/NQO1/NRAS/NFE2L2/FAS/IRF9/SREBF1/CPEB4/HMGCR/VEGFA/EDN1/RHOA/SQSTM1/MIF/SMAD3"
"DOID:77","gastrointestinal system disease",473,0.382940129087583,1.73470624754053,3.61914099239148e-08,3.78652626328959e-06,2.42387205937798e-06,1514,"tags=21%, list=11%, signal=20%","CP/CXCL8/CCL3/PTX3/TNF/CXCL3/IL2RA/ICAM1/PRF1/CCL5/ADM/HBEGF/SNAI1/STX1A/CXCL1/F3/MX1/CXCL2/PLAU/LDLR/STAT1/ZC3H12A/RETN/IL10RA/SERPINE1/ABCA1/SERPINA1/TNFAIP3/ACHE/IL21R/PLAUR/GCH1/RGS2/SEMA7A/HPGD/TIMP1/NFKB1/LMNA/SPRY2/ANXA1/NFKBIA/IL1RN/SPP1/PTGS2/RUNX3/HLA-G/IL12RB1/IRGM/COL1A1/HIVEP1/RHOB/NLRP3/AHR/FGFR1/LGALS1/HIF1A/TGFB1/NQO1/PTGER4/NRAS/NFE2L2/NAMPT/SLC7A5/HSPA5/FAS/APC2/IRF9/IL4R/COL6A3/HLA-B/SREBF1/CPEB4/HMGCR/VEGFA/SLC11A1/CDC42/EDN1/RHOA/SQSTM1/MIF/SMAD3/BCOR/GPX7/CD55/GUSB/EIF2AK2/GLUL/B2M/PDIA3/CTNNB1/NFIL3/SOCS1/GNAI2/MUC4/CNP/ACTB/SLC2A1/F11R/HAMP/GGT1/ACTG1"
"DOID:0050338","primary bacterial infectious disease",68,0.662990975724343,2.31645018910869,5.16467673051891e-08,4.32283442344433e-06,2.76717942719382e-06,1248,"tags=35%, list=9%, signal=32%","CXCL8/TNF/CCL5/PDE4A/STAT1/ACHE/ATF3/PLAUR/NFKBIA/IL1RN/SPP1/TAP1/IL12RB1/IRGM/NFE2L2/DDIT3/IL4R/HLA-B/HLA-A/SLC11A1/DUSP14/MIF/IRAK1/CYBA"
"DOID:409","liver disease",223,0.464352507384927,1.93737744175916,4.97019321240403e-08,4.32283442344433e-06,2.76717942719382e-06,1001,"tags=20%, list=7%, signal=19%","CXCL8/CCL3/PTX3/TNF/CXCL3/ICAM1/CCL5/CXCL1/F3/MX1/CXCL2/PLAU/LDLR/STAT1/ZC3H12A/SERPINE1/ABCA1/SERPINA1/PLAUR/GCH1/RGS2/NFKB1/NFKBIA/SPP1/PTGS2/HLA-G/IL12RB1/COL1A1/NLRP3/AHR/HIF1A/TGFB1/NQO1/NFE2L2/FAS/IRF9/SREBF1/CPEB4/HMGCR/VEGFA/EDN1/RHOA/SQSTM1/MIF/SMAD3"
"DOID:114","heart disease",493,0.378834872653798,1.71826657828683,6.087255111842e-08,4.63184775328341e-06,2.96498837505032e-06,1802,"tags=21%, list=13%, signal=19%","XIRP1/CP/RRAD/H19/TNF/INHBA/CYP1B1/COL4A5/CXCL3/NFATC4/ICAM1/CCL5/LIF/ADM/JPH1/SNAI1/THBS1/ECE1/CXCL1/CXCL2/FLNC/PLAU/RETN/PDE9A/GCH1/JPH4/PRKCA/TIMP1/LMNA/SNTA1/MAP2K3/BAG3/SPP1/PFKFB3/SCD/COL1A1/CHRM4/SPHK1/TTN/ANK2/AHR/DLL1/HIF1A/NEXN/GRK5/TGFB1/PTGER4/NRAS/NFE2L2/FOSL1/FAS/ITGAM/HLA-B/SREBF1/PHC1/MUC1/SLC25A5/VEGFA/TPM4/EDN1/MIF/SMAD3/S100A9/TXN/PPP3R1/SREBF2/TPM3/KCNK17/SRF/PPCDC/NME2/KRAS/GLUL/CALR/JUP/GAPDH/FADS2/CALM1/SOCS1/ITGB2/GNAI2/ACTB/HAMP/SRA1/RANBP1/ACTG1/EMD/PEPD/GNB1/CS/GPX1/MDH2/PDLIM7/PPP2CA/TFPI/OPA1/TRAF6/RPS5/UCP2/RAB1A/RAC1/CDKN1A/GPI/FTH1"
"DOID:552","pneumonia",43,0.733866013893946,2.3542206383783,1.39878536529603e-07,9.75652792293983e-06,6.24545395557615e-06,995,"tags=35%, list=7%, signal=32%","TNF/CXCL3/IL1RL1/ICAM1/CCL5/CXCL1/CXCL2/SERPINE1/CCR7/NFKBIA/IL1RN/TGFB1/MUC1/EDN1/MIF"
"DOID:2377","multiple sclerosis",76,0.614555034133883,2.18061605099432,2.41938254101918e-07,1.55771014371773e-05,9.97138229456487e-06,969,"tags=28%, list=7%, signal=26%","CXCL8/TNF/IL2RA/PRF1/CCL5/TNFSF9/CMPK2/SERPINE1/ACHE/IL21R/SH2D2A/TIMP1/SPP1/CNTF/NECTIN2/COL1A1/FAS/IL4R/SLC11A1/EDN1/RHOA"
"DOID:399","tuberculosis",62,0.657588273550244,2.26499348878252,2.9506239968941e-07,1.76405163242883e-05,1.12922377023992e-05,1248,"tags=35%, list=9%, signal=32%","CXCL8/TNF/CCL5/STAT1/ATF3/PLAUR/NFKBIA/IL1RN/SPP1/TAP1/IL12RB1/IRGM/NFE2L2/DDIT3/IL4R/HLA-B/HLA-A/SLC11A1/DUSP14/MIF/IRAK1/CYBA"
"DOID:11650","bronchopulmonary dysplasia",25,0.809615547666191,2.29100190286228,5.04355312292584e-07,2.15605309323725e-05,1.38015597617778e-05,995,"tags=44%, list=7%, signal=41%","TNF/CXCL3/CXCL1/CXCL2/SERPINE1/NFKBIA/IL1RN/HIF1A/MUC1/EDN1/MIF"
"DOID:3213","demyelinating disease",81,0.607970486468115,2.18309939245022,4.60669434091346e-07,2.15605309323725e-05,1.38015597617778e-05,969,"tags=27%, list=7%, signal=25%","CXCL8/TNF/IL2RA/PRF1/CCL5/TNFSF9/CMPK2/SERPINE1/ACHE/IL21R/SH2D2A/TIMP1/SPP1/PTGS2/CNTF/NECTIN2/COL1A1/FAS/IL4R/SLC11A1/EDN1/RHOA"
"DOID:783","end stage renal disease",81,0.606941282797986,2.17940372965577,5.15185924309977e-07,2.15605309323725e-05,1.38015597617778e-05,1250,"tags=26%, list=9%, signal=24%","CCL3/MSC/TNF/ICAM1/CCL5/PLAU/CSF1/RETN/SERPINE1/ABCA1/PLAUR/IL1RN/COL1A1/TGFB1/PTGER4/HMGCR/EDN1/GTPBP4/SREBF2/CYBA/IRS1"
"DOID:3082","interstitial lung disease",101,0.561387351663758,2.10336937517272,4.67901875947866e-07,2.15605309323725e-05,1.38015597617778e-05,961,"tags=26%, list=7%, signal=24%","CXCL8/TNF/IL2RA/IL1RL1/ICAM1/CCL5/F3/PLAU/STAT1/SERPINE1/GCH1/TIMP1/ANXA1/IL1RN/PTGS2/TAP1/COL1A1/TGFB1/NFE2L2/HSP90AA4P/IL4R/MUC1/HSPA1B/VEGFA/HSP90AA1/EDN1"
"DOID:9744","type 1 diabetes mellitus",101,0.560429735659883,2.09978144222454,4.96259228134206e-07,2.15605309323725e-05,1.38015597617778e-05,1973,"tags=31%, list=14%, signal=27%","CP/TNF/IL2RA/ICAM1/PRF1/CCL5/RETN/ACHE/TIMP1/IL1RN/TAP1/TNFSF10/SH2B3/TGFB1/FAS/DNMT3B/IGHM/SLC11A1/EDN1/APOM/ETS1/SREBF2/FADS2/HDAC1/IFNGR2/G6PD/AIF1/ACP1/TAP2/STAT4/E2F1"
"DOID:850","lung disease",232,0.445504017660594,1.86833700552279,4.80359483159193e-07,2.15605309323725e-05,1.38015597617778e-05,995,"tags=19%, list=7%, signal=18%","CXCL8/TNF/CXCL3/IL2RA/IL1RL1/ICAM1/CCL5/CXCL1/F3/CXCL2/PLAU/STAT1/SERPINE1/SERPINA1/C3AR1/PLAUR/GCH1/CCR7/IRF1/TIMP1/ANXA1/NFKBIA/IL1RN/C5AR1/PTGS2/TAP1/COL1A1/HIF1A/MCAM/TGFB1/NQO1/NFE2L2/DDIT3/FAS/HSP90AA4P/PDE4D/IL4R/MUC1/HSPA1B/VEGFA/HSP90AA1/EDN1/MIF"
"DOID:0050339","commensal bacterial infectious disease",26,0.807697003240303,2.31156773904265,5.88132568010087e-07,2.23757708829292e-05,1.43234199577576e-05,995,"tags=42%, list=7%, signal=39%","CXCL8/PTX3/TNF/ADM/SERPINE1/NFKBIA/IL1RN/TGFB1/HLA-B/HSPA1B/MIF"
"DOID:612","primary immunodeficiency disease",204,0.467927816202465,1.92898610026333,5.75113846695732e-07,2.23757708829292e-05,1.43234199577576e-05,1869,"tags=27%, list=13%, signal=24%","TNFRSF4/TNF/IL2RA/RELB/ISG15/SH2D1A/STAT1/SERPINE1/TNFAIP3/NFKB2/IL21R/IL2RG/IRF1/IFIH1/NFKB1/IL1RN/ZNFX1/ICOSLG/IL12RB1/REL/NLRP3/CD3E/IRF7/ZAP70/RHOH/IRF2BP2/FAS/IRF9/IL4R/CORO1A/IGHM/PIK3R1/SLC11A1/OAS1/TAPBP/LCK/IRAK1/CYBA/B2M/PSMB7/ITGB2/SPI1/IFNGR2/POMP/BCL10/CD79A/RNF31/JAK3/LRRC8A/NCF4/PSMB5/TAP2/MYD88/MSN/RFXANK"
